year_month_roc,raw_domain,domain,site_type,legal_basis,requesting_agency,source,updated_at
11412,0.bullionve.shop,0.bullionve.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,0.cheaps1224.shop,0.cheaps1224.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,0.dashdeexj.com,0.dashdeexj.com,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,0.dyshangcheng.top,0.dyshangcheng.top,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,0.email1121.shop,0.email1121.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,0.forless1116.shop,0.forless1116.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,0.greter.cc,0.greter.cc,電子商務,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,0.hosting1023.shop,0.hosting1023.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,0.search1211.site,0.search1211.site,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,0.small1006.shop,0.small1006.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,0.trans1017.shop,0.trans1017.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,0.word1018.shop,0.word1018.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,000.bullionve.shop,000.bullionve.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,000.cheaps1224.shop,000.cheaps1224.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,000.dashdeexj.com,000.dashdeexj.com,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,000.dyshangcheng.top,000.dyshangcheng.top,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,000.email1121.shop,000.email1121.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,000.forless1116.shop,000.forless1116.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,000.greter.cc,000.greter.cc,電子商務,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,000.hosting1023.shop,000.hosting1023.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,000.search1211.site,000.search1211.site,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,000.small1006.shop,000.small1006.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,000.trans1017.shop,000.trans1017.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,000.word1018.shop,000.word1018.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,00000twqh.com,00000twqh.com,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11504,0001.goodplay.asia,0001.goodplay.asia,抽獎博弈,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11505,0019.com.tw,0019.com.tw,醫療保健,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11504,001jjdkf.com,001jjdkf.com,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,01.bullionve.shop,01.bullionve.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,01.cheaps1224.shop,01.cheaps1224.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,01.dashdeexj.com,01.dashdeexj.com,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,01.dyshangcheng.top,01.dyshangcheng.top,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,01.email1121.shop,01.email1121.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,01.forless1116.shop,01.forless1116.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,01.greter.cc,01.greter.cc,電子商務,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,01.hosting1023.shop,01.hosting1023.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,01.search1211.site,01.search1211.site,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,01.small1006.shop,01.small1006.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,01.trans1017.shop,01.trans1017.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,01.word1018.shop,01.word1018.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,010.bullionve.shop,010.bullionve.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11501,010.cheaps1224.shop,010.cheaps1224.shop,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
11412,010.dashdeexj.com,010.dashdeexj.com,金融保險,詐欺犯罪危害防制條例,刑事警察局詐欺犯罪防制中心,https://data.gov.tw/dataset/176455,2026-06-13T13:21:10+08:00
